review,category,restaurant
음식의 종류나 맛도 대 실망이다,맛,한상
맛은 뭐 그럭저럭 나쁘지 않은데 홀직원 응대는 너무 문제가 많네요,맛,한상
좀 가격대비 약한듯하고 음식은 맛나,맛,한상
예비시부모님 모시고 식사했는데 조용하고 음식도 맛있었어요,맛,한상
다소 실망스런 식사에 속상해 주절거려봅니다,맛,한상
맛도 없고 조미료맛만 넘침,맛,한상
식사후 다음날까지 기분이 안좋았을 정도ᆢ식원도 불친절하니,맛,한상
맛도 그렇고 종류도 그렇고 음식이 따뜻하지도,맛,한상
맛도없곳음식에 성의도 없고,맛,한상
음식 맛은 괜찮았으나 양이 다소 적음,맛,한상
한상차림도좋고 맛도좋고 얼씨구나 좋구나,맛,한상
식사시간을 위해 남깁니다,맛,한상
예약시간 30분 지나서 식사가 나오면,맛,한상
늦게 온 팀이 식사가 먼저 나오길래,맛,한상
아이들 포함해서 인원이 많은데 성인 수만큼 식사가 나오더라고요,맛,한상
성인 수만큼만 식사가 나오길래 애들 먹일,맛,한상
음식 가지수는 많으나 맛은 소소,맛,한상
맛은 그런대로 괜찮고 직원분도 대체로 친절 하셨어요,맛,한상
음식맛도 무난하고 직원분들도 친절하셨어서 만족합니다,맛,한상
자극적인 맛이 아니라서 좋았습니다,맛,한상
식사 맛있게 잘먹었어요,맛,한상
여기 맛집이네요,맛,한상
즐거운 식사시간이었습니다,맛,한상
뷰는 좋은데 맛치고는 비싸요,맛,한상
음식 맛 좋고 뷰도 좋은데,맛,한상
우리 벌써 오랜모임식사장소인데 만족,맛,한상
한정식은 음식 재료 퀄리티와 맛이 생명인데 여긴 그냥 일반식당 백반보다도 못,맛,한상
맛도좋고 뷰도 조아요,맛,한상
뷰맛집,맛,한상
차갑고 떡갈비도 인스턴트맛,맛,한상
생각보다 금방나왔고 직원분들도 친절하세요 맛도있어요,맛,한상
떡갈비는 마트에 파는 맛,맛,한상
고객들 맛나게 드셨는지,맛,한상
고객들이 식사하러 오는거에,맛,한상
맛은 걍 욕먹지나 않을,맛,한상
정성이 많이 든 음식 맛도 좋아요,맛,한상
맛나요,맛,한상
맛도없고 천사채에 마요네즈잔뜩버무려놓고,맛,한상
손님들식사하는데 조용한데 직원혼내고,맛,한상
음식 맛도 별로였구요,맛,한상
맛은 그냥 먹을만한 정도,맛,한상
가격 대비 너무뻔한맛,맛,한상
어머니랑 장모님을 같이 식사 하기위해 와이프랑 한참 고민한끝에 찬도많이 나오고,맛,한상
한정식의 맛은 형언할 수가 없네요,맛,한상
음식맛도 좋아요,맛,한상
맛도 괜찮았어요,맛,한상
양도 많고 맛도 좋고,맛,한상
아주 특별한 맛은 아니,맛,한상
서울에서 갈만한 한정식 맛집이라고 해서,맛,한상
가격을 만원대로 낮추시고 반찬수를 반으로 줄여서 맛나게,맛,한상
식사했습니다,맛,한상
추가 반찬 주문해도 새접시로 바로 서비스,서비스,한상
사장님의 무례함빼고 직원의응대와 맛은 최고였음,서비스,한상
이렇게 불친절 한날은 처음이네요,서비스,한상
무엇보다 직원분들이 친절하셔서 더 만족해요,서비스,한상
맛은 뭐 그럭저럭 나쁘지 않은데 홀직원 응대는 너무 문제가 많네요,서비스,한상
손님 응대하는 태도가 세상 귀찮은 표정과 말투 손님이 상위에 손울 올리고,서비스,한상
여기 몇번 왔던 곳인데 직원 응대가 너무 불쾌해서 이제 다시는,서비스,한상
서비스짱,서비스,한상
직원도 불친절 음식은 엄청 빨리 나왔어요,서비스,한상
콜벨 누르면 직원분이 조금 늦게,서비스,한상
서비스를 떠나서 인성 문제인걸까요,서비스,한상
직원들도 친절하세요,서비스,한상
문제점 개선하여 다른 손님들께 좋은 서비스해주시길,서비스,한상
맛은 그런대로 괜찮고 직원분도 대체로 친절 하셨어요,서비스,한상
음식맛도 무난하고 직원분들도 친절하셨어서 만족합니다,서비스,한상
서비스는 직원이나 알바나 별로 입니다,서비스,한상
주인은 서비스나 음식에 개선이 필요할것같음,서비스,한상
응대가 매우 불친절했어요,서비스,한상
처음 들어갔을때 직원분 인사 한마디 없이 예약했냐는,서비스,한상
응대 서비스 개선이 필요할 것 같습니다,서비스,한상
생각보다 금방나왔고 직원분들도 친절하세요 맛도있어요,서비스,한상
친절,서비스,한상
음식이 맛있어요 직원분들도 친절해요,서비스,한상
여자분은 응대가 매우 불친절 말투 틱틱 사장님이신듯,서비스,한상
손님들식사하는데 조용한데 직원혼내고,서비스,한상
특히 남자직원 마스크도 안쓰고,서비스,한상
여자 직원은 자리도 더 시원한 곳으로 안내해주고 친절하고,서비스,한상
남자 직원은 친절한데 여자 사장인가 점장인가는 예약 전화 할,서비스,한상
남자직원분이 너무 친절하셔서 별 2개 드립니다 맘같아선,서비스,한상
음식도 맛있고 직원분들도 친절했어요,서비스,한상
직원분들도 친절하시고 쾌적하게,서비스,한상
직원분도 친절,서비스,한상
그래도 다른 직원분들은 다 친절하시고,서비스,한상
서비스도 주시고 친절해요,서비스,한상
불친절 끝판왕이예요,서비스,한상
직원 서비스까지 저러니 다시는,서비스,한상
직원분즐 친절하시고 이 근방에 이런,서비스,한상
무엇보다 직원분들이 친절하셔서 더 만족해요,서비스,한상
그냥 딱 이정도 가격의 느낌,가격,한상
지난번보다 가격은 올랐는데 반찬은불고기 제외됨,가격,한상
음식은 가격대비 조금 부족해 보이네요,가격,한상
가격도 요즘 시세에 비하면 적당했구요,가격,한상
솔직히 가격대비 별로입니다,가격,한상
가격만큼 반찬이나 메인메뉴가 부족한 듯 해요,가격,한상
가격대비 그냥그렇고 사장님 같은,가격,한상
같은 가격인데 평일하고 어떻게,가격,한상
음식 가격 높음,가격,한상
그 가격에 비해,가격,한상
좀 가격대비 약한듯하고 음식은 맛나,가격,한상
더 비싸 상차림과 술안주메뉴들도 더 다양해요,가격,한상
저렴한 가격 때문이라고 하기에는 음식수준에 비해,가격,한상
떡갈비도 수제가 아니구 가격대비 음식 구성이 허술해요,가격,한상
그냥 앉았는데 그 가격에 이런음식은 좀 아닌듯 하네요,가격,한상
다만 가격대비 엄청 맛있다거나 특색있는건,가격,한상
같네요 가격을 내리시던지요 가격대에 비해서,가격,한상
인지 가격대비 음식이 알차게 나오진 않은듯,가격,한상
그가격의 세트구성이라면 후식이 너무 약하달까 메실,가격,한상
가격에비해 음식이부실해요,가격,한상
가격대비 어중간한 강남권 식당들보다 퀄리티 있고,가격,한상
참고로 가격대비 여기보다 맛없고 퀄리티 떨어지는 곳 수두룩함,가격,한상
가격 대비 너무뻔한맛,가격,한상
가격만큼 음식이 고급은 아니네요 흔한,가격,한상
착한 가격,가격,한상
백반가격에 한상차림으로,가격,한상
가격대비 만족도 굿입니다,가격,한상
가격 대비 음식이 아주 훌륭하지 않아서 또 멀리서 찾아가지는,가격,한상
가격을 만원대로 낮추시고 반찬수를 반으로 줄여서 맛나게,가격,한상
깊은 육수맛에 옛날생각이 절로 납어요 가까우면,맛,무명칼국수
석계역 맛집좀하나,맛,무명칼국수
항상해물로먹고 김치너무맛잇어요,맛,무명칼국수
만두는 건강한맛이에요,맛,무명칼국수
닭칼국수에 맛이 최고에요 만두,맛,무명칼국수
슴슴한 맛의 칼국수 집이에요,맛,무명칼국수
맛은 있어요 바지락도 많고,맛,무명칼국수
맛집모임 제가 모임장인데 맛은 있는데,맛,무명칼국수
개운한 국물맛이 남편 어제 마신술 해장이 된다고 끝내준다고,맛,무명칼국수
저두 깔끔한국물맛이 좋다고,맛,무명칼국수
식사시간엔 웨이팅 있어요,맛,무명칼국수
동네맛집이에요 양도 진짜 많고 맛있어요,맛,무명칼국수
쫄깃한 칼국수와 고기만두,맛,무명칼국수
모두다 김치로 인해 더욱 맛을 빛낸다,맛,무명칼국수
왕만두 맛나요,맛,무명칼국수
무명칼국수 바지락맛나네요,맛,무명칼국수
칼국수 맛집이에요,맛,무명칼국수
월계동 맛집이죠,맛,무명칼국수
칼국수도 겉절이 김치도 맛나요,맛,무명칼국수
면발도 쫄깃 탱글해서,맛,무명칼국수
평일 식사 시간에도 적당히 사람 있으며,맛,무명칼국수
닭 칼국수 모두 맛있,맛,무명칼국수
것들 중에는 확실히 상위귄 맛이었습니다,맛,무명칼국수
국물맛 깔끔하고 괜찮았어요,맛,무명칼국수
맛의 만두였어요,맛,무명칼국수
맛 양 가성비모두좋아아 자주 먹으러갑니다,맛,무명칼국수
알고보니 인기맛집이였네요,맛,무명칼국수
친절하시고 음식이 맛나요,맛,무명칼국수
맛은 아니고,맛,무명칼국수
맛있고 양도 맛고 가성비도 좋아,맛,무명칼국수
유일한 동네맛집 자신잇게소개가능,맛,무명칼국수
면이 쫄깃하고 맛있어요 김치도 칼국수랑 먹기 참 좋아요,맛,무명칼국수
깨끗한 맛이라 좋아요,맛,무명칼국수
가격이 저렴한데 칼국수맛도 넘 좋고,맛,무명칼국수
김치맛도 훌륭하고 혼밥하기도 좋고,맛,무명칼국수
맛잇습니다,맛,무명칼국수
칼국수 손으로 썰어 울퉁불퉁 쫄깃한 면발이네요 국물맛은 살짝 생각보다 덜시원하고 닭비린,맛,무명칼국수
맛이살짝났어요 만두 맛있네요 채썰어서,맛,무명칼국수
넣은 호박이 아주 시원한 맛을 내주네요,맛,무명칼국수
면은 쫄깃하구요,맛,무명칼국수
쫄깃하니좋아요,맛,무명칼국수
더 맛났어요,맛,무명칼국수
맛,맛,무명칼국수
만두도 맛나요,맛,무명칼국수
면발 쫄깃하고 바지락 국물 시원시원,맛,무명칼국수
찜 맛집,맛,무명칼국수
쫄깃한 수타면발이 너무 맛나서 자꾸 생각나요,맛,무명칼국수
해물칼국수도 맛나요,맛,무명칼국수
김치도 맛나고 칼국수도 굿,맛,무명칼국수
조미료맛도 안 나고 국물맛이 옛날 어머니 솜씨네요,맛,무명칼국수
육수의 맛,맛,무명칼국수
석계역 최고 맛집이에요,맛,무명칼국수
석계역 대표맛집입니다,맛,무명칼국수
석계 맛집입니다,맛,무명칼국수
칼국수 맛집,맛,무명칼국수
집근처에 이런 칼국수 맛집이 있,맛,무명칼국수
손만두랑 닭칼국수 맛나요,맛,무명칼국수
이라 쫄깃하고 맛있어요,맛,무명칼국수
맛나네요,맛,무명칼국수
면발이 쫄깃하고 국물이 짜지 않아서,맛,무명칼국수
역시 칼국수 맛집,맛,무명칼국수
칼국수맛집 웨이팅 있고 주차힘드니까,맛,무명칼국수
2인분양이 둘이 먹기엔 진짜 많이 주시네요국물맛도 시원해서 좋았어요,맛,무명칼국수
이 집 꽤 오래 되었는데요 예전에나 지금이나 맛,맛,무명칼국수
맛집으로 정말 기뻤습니다만 줄을 서야 해서,맛,무명칼국수
직접 반죽하시는 면도 진짜 쫄깃하고,맛,무명칼국수
자주가는 칼국수 맛집이에요,맛,무명칼국수
칼국수 만두 맛이 좋아요,맛,무명칼국수
최고 맛집입니다 해물칼국수 짱짱,맛,무명칼국수
맛이었어요,맛,무명칼국수
김치맛이 일품이에요,맛,무명칼국수
슴슴한 맛이 매력이예요,맛,무명칼국수
만두 맛집,맛,무명칼국수
맛도 엄청난데 친절까지,맛,무명칼국수
칼국수 맛나요,맛,무명칼국수
양 맛 모두 좋았어요 가성비도 괜찮구요,맛,무명칼국수
맛집이라 소문나서 찾아간,맛,무명칼국수
맛은 기대치만 못하네요,맛,무명칼국수
석계역 맛집입니다,맛,무명칼국수
맛나고 양도 많아요,맛,무명칼국수
너무 맛있어요 진짜 맛집,맛,무명칼국수
첨가봤는데 맛집인정,맛,무명칼국수
월계동 맛집 또 갈께요,맛,무명칼국수
면은 두께가 제각기인데다가 좀 쫄깃한 느낌이 많아서 다음에 먹는다면 좀 더 삶아,맛,무명칼국수
맛나요,맛,무명칼국수
맛나요,맛,무명칼국수
맛나요,맛,무명칼국수
해물 칼국수 맛집입니다,맛,무명칼국수
맛나요,맛,무명칼국수
맛이 좋아요,맛,무명칼국수
친절하시고 맛도 괜찮은데,맛,무명칼국수
무명칼국수 변하지 않는 맛이라 정말 좋아요,맛,무명칼국수
맛은 항상 굿,맛,무명칼국수
맛집,맛,무명칼국수
만두는 집에서 만든ㄱㅓ처럼 피가 엄청 얇고 맛이 과하지,맛,무명칼국수
정말 추천할 맛 입니다,맛,무명칼국수
쫀득쫀득 맛이 아주 좋답니다,맛,무명칼국수
꽤 여러번 갔는데 맛이 바뀌었네요,맛,무명칼국수
오늘은 국물도 시원하지 않고 김치 맛도 그저그랬어요,맛,무명칼국수
면이ㅡ쫄깃 탱탱하니 맛있어요,맛,무명칼국수
석계역 맛집,맛,무명칼국수
맛집,맛,무명칼국수
맛잇어요,맛,무명칼국수
양 많고 맛납니다,맛,무명칼국수
가격도 착하고 정말 좋았습니다,가격,무명칼국수
가격이 착해서 부담없이 먹을 수 있을듯,가격,무명칼국수
양도 많은데 가격도 저렴한,가격,무명칼국수
가격도 착하고,가격,무명칼국수
가격이 저렴한데 칼국수맛도 넘 좋고,가격,무명칼국수
가격 very very 합리적,가격,무명칼국수
오랜만에 방문했더니 가격이 오름,가격,무명칼국수
가격이 올랐나봐요,가격,무명칼국수
직원분들 친절까지,서비스,무명칼국수
겉절이김치가 넘 맛있고 사장님과 직원분도 친절하세요,서비스,무명칼국수
있었는데 서비스로 주셨어용 ㅠㅜ,서비스,무명칼국수
맛도 엄청난데 친절까지,서비스,무명칼국수
사장님 very very 친절,서비스,무명칼국수
맛있고 남자 직원분 친절하고,서비스,무명칼국수
석계역맛집 애완견 동반 가능한 성북구 맛집,맛,라체나1907
여기는 빠네 파스타 맛이 정말 예술,맛,라체나1907
찐 맛집 발견 석계역 근처에 이런 분위기 좋은,맛,라체나1907
부드러운 크림소스와 청양고추의 매콤한 조합이 환상적인 청양빠네파스타 왜 시그니처 메뉴인지 알겠더라구요 적당히,맛,라체나1907
매콤하고 적당히 부드러운,맛,라체나1907
맛 완전 취향저격 도톰한 빵까지 파스타만 먹어도 벌써 배부름,맛,라체나1907
바질까지 동시에 맛이 느껴지는데 아주 맛도리입니당,맛,라체나1907
진짜 한국인이라면 무조건 좋아하는 매콤하면서도 고소한,맛,라체나1907
이건 매콤한 맛이라 진짜 마지막까지 질리지 않고 먹을,맛,라체나1907
한 파스타 소스도 많이 주셔서 빠네 빵을 푹 담궈서 진짜 미칠 맛입니당 해장으로도 좋습니당_,맛,라체나1907
찐맛집입니다,맛,라체나1907
청양빠네파스타 매콤하니 느끼하지도 않고,맛,라체나1907
우리동네 찐맛집으로 인정,맛,라체나1907
완전 데이트맛집,맛,라체나1907
분위기도 너무 좋고 무엇보다 파스타가 진짜 맛도리예요 청양크림 무조건 시키시고,맛,라체나1907
가지파스타도 넘 맛나네요,맛,라체나1907
석계역 맛집으로 유명한 라체나 1907이예요 분위기도 좋고,맛,라체나1907
음식맛도 좋아 저녁에 데이트 장소로고 유명하,맛,라체나1907
런치메뉴는 파스타맛도 고를수 있어 더 좋았네요,맛,라체나1907
매콤한스파게티 스테이크 맥주까지 다 맛있어서,맛,라체나1907
분위기 깡패인 석계역맛집,맛,라체나1907
맛 부터 인테리어까지 다 너무 만족하면서 먹고왔어요,맛,라체나1907
가족 식사로,맛,라체나1907
빠네파스타랑 스테이크 전부 다 넘 맛나요,맛,라체나1907
매콤하니 간만에 맛있는 파스타를 친구들과 함께 이쁜,맛,라체나1907
청양빠네파스타 매콤하면서 중독성강하고,맛,라체나1907
스테이크도 너무저렴한데 맛은 고급,맛,라체나1907
파스타는 미트가지 파스타인데 여기서만 먹을 수 있는 맛 같아요,맛,라체나1907
석계역 맛집 라체나 1907은 제 개인적인 단골 맛집으로 자신있게 추천드릴 수 있는 집이에요,맛,라체나1907
분위기 넘 좋고 맛은 또 말모말모,맛,라체나1907
석계역 맛집입니다,맛,라체나1907
4키로도 안 떨어진 위치에서 모친과 한해의 마지막 디너를 근사하고 맛나게,맛,라체나1907
허세찬 플레이팅이 아니라 맛과 신선함으로,맛,라체나1907
청량크림파스타 이전에 짭쪼롬했던 맛이,맛,라체나1907
오늘은 사라져 맛났다는,맛,라체나1907
구운정도 맛도 양도 적절했다,맛,라체나1907
맛이 중화되어 사라졌네,맛,라체나1907
몇숫가락 먹다 입맛만 맛나더이다,맛,라체나1907
달콤 시원에이드로 입가심,맛,라체나1907
엄마가 동네맛집이라고 가보고 싶다고,맛,라체나1907
정말 최고의 맛이었어요,맛,라체나1907
저번엔 빠네가 감동적인 맛이었는데 이번엔 리조또가 넘,맛,라체나1907
분위기도 넘 좋구 파스타 스테이크 다 맛나옹,맛,라체나1907
맛은 평범했어요,맛,라체나1907
무슨맛인지 모르겠습니다,맛,라체나1907
석계역 숨은 맛집이예요,맛,라체나1907
대파 스파게티 처음 먹는맛인데 넘,맛,라체나1907
지인 생일 축하기념으로 방문했는데 식사도 맛있게 하고,맛,라체나1907
여긴 올때마다 맛 양 서비스 늘 만족스러운 식사를 했습니다,맛,라체나1907
아이가 까르보나라와 토마토 스파게티 둘 다 비교할 수 없을 정도로 맛있,맛,라체나1907
짱맛입니당 두번 세번 네번 다섯번 백번 가려고요,맛,라체나1907
이곳은 동네 맛집,맛,라체나1907
동네 찐맛집,맛,라체나1907
메뉴 아무거나 시켜도 전부 맛나요,맛,라체나1907
이미 몇번 방문한 맛집인데 청양크림파스타가 너무 맛있어요 크림이 넉넉하고,맛,라체나1907
맛은 무난합니다,맛,라체나1907
3인세트메뉴로 주문하여 맛나게,맛,라체나1907
맥주도맛나고 음식도 맛나 다음에 다시 들르기로,맛,라체나1907
너무 맛났어요 친절하고 손맛 좋은,맛,라체나1907
맛은 생각보다 평범했고 맛있었어요,맛,라체나1907
정말 만족스런 식사입니다,맛,라체나1907
2인세트로 먹었는데 청량빠네 파스타는 한국의 맛이 느껴지는,맛,라체나1907
맛이엿고 카프레제는 맛잇엇어요,맛,라체나1907
양송이 맛이 1도 안나는 느낌이엿어요,맛,라체나1907
맛보다는 가성비로 먹기 좋은 가게인듯,맛,라체나1907
이탈리아 맥주는 맛낫어요,맛,라체나1907
석계역 맛집입니다,맛,라체나1907
역시나 맛나네요,맛,라체나1907
차 타고 가다가 주변 검색으로 발견한 맛집,맛,라체나1907
스테이크도 맛나요,맛,라체나1907
아쉬운 것은 피클 맛이 이상했어요,맛,라체나1907
용기에 담긴 피클 맛은 이상했어요 확인해보시는,맛,라체나1907
가족들이랑 식사 전에 간단히 먹으려고 갔는데,맛,라체나1907
둘만 너무 맛난거 먹어서 미안한 마음이 드네요,맛,라체나1907
동네 근처에 이런 맛집이,맛,라체나1907
쉬림프비스크리조또는 해산물이 풍성함에도 전혀 비리지 않고 담백매콤 다 잡았습니다,맛,라체나1907
석관동에서 귀한 파스타 맛집,맛,라체나1907
요리하시는 분께서 수프 맛을 보시고 손님에게 내놓으,맛,라체나1907
개인적으로 청양 크림이 더 맛나요,맛,라체나1907
크림스프는 크루통맛만 나요,맛,라체나1907
정말 감동적인 맛,맛,라체나1907
기분좋은 식사였어요,맛,라체나1907
동네 이사온지 한달이 안되서 맛집 찾아보다가 우연히 가게 되었는데,맛,라체나1907
집에서 가까운 곳이라 방문했는데 음식 맛,맛,라체나1907
맛나고 푸,맛,라체나1907
샐러드도 맛났어요,맛,라체나1907
느끼한데 매콤 잘,맛,라체나1907
진짜 진짜 찐 맛집,맛,라체나1907
맛으로 양도 푸짐해서,맛,라체나1907
음식 맛도 맛있고 양도 많아요,맛,라체나1907
분우기부터가 맛집,맛,라체나1907
석계역 파스타 최고의 맛집,맛,라체나1907
양도 많고 맛도 좋아요,맛,라체나1907
가족들 모두 만족스럽게 식사를 마쳤어요 재방문의사200입니다,맛,라체나1907
모임 하셨는데 다들 맛에 놀랐어요,맛,라체나1907
진짜 찐 맛집,맛,라체나1907
맛났어요,맛,라체나1907
맛도 있고 양도 아쉽지,맛,라체나1907
자리가 항상 만석이네요 석계역에서는 이미 맛집으로 유명한가봐요 다음엔 런치세트도 먹어,맛,라체나1907
동네맛집 최고,맛,라체나1907
가성비도 좋고 매콤한 파스타들이여서,맛,라체나1907
너무 친절하시고 맛도 정말 맛있었어요,맛,라체나1907
면이 쫄깃,맛,라체나1907
감바스와 빵추가면 넘 가성비 좋았고 맛났어요,맛,라체나1907
이번에도 만족스러웠던 식사였어요,맛,라체나1907
청양크림파스타가 특히 너무 맛잇어요,맛,라체나1907
아웃백 보다 훨씬 합리적인 가격에 맛은 최근 먹어,맛,라체나1907
맛이에요,맛,라체나1907
레드와인 스테이크와 매콤한 크림청양파스타 둘다 너무 맛있었어요,맛,라체나1907
동네에 이런 맛집 넘 환영입니다,맛,라체나1907
맵찔인데도 적당한 매콤함이라서 부담없이 먹기 좋았어요,맛,라체나1907
좋고 맛도 더 고소했어요,맛,라체나1907
전체적으로 아주아주 만족스러운 식사였어요,맛,라체나1907
동생이랑 오랜만에 만나서 석계역 근처 맛집 찾아보다가,맛,라체나1907
스테이크 익힘정도부터 간도 딱 좋고 머쉬룸 소스도 약간 매콤한 맛도 있어서,맛,라체나1907
식사였습니다,맛,라체나1907
음식이 맛도 좋고 양도 많아,맛,라체나1907
동네에 이런 맛집이 있다니,맛,라체나1907
맛도 좋아요 강추,맛,라체나1907
독특한 맛이에요,맛,라체나1907
엔초비 맛이 특출나게 나는게 이니긴,맛,라체나1907
먹는 아이도 매콤한것 생각난다며,맛,라체나1907
스프도 맛납니다,맛,라체나1907
석계역 맛집으로 추천,맛,라체나1907
늘 친철한 서비스와 맛,맛,라체나1907
우리동네 맛집,맛,라체나1907
석계역맛집이죠,맛,라체나1907
맛집이예요,맛,라체나1907
언제 가도 맛나요,맛,라체나1907
조금 달달한 맛이 있으니 참고하세요 여기 있는,맛,라체나1907
맛집 검색하고,맛,라체나1907
너무 맛잇어서 매주 오고,맛,라체나1907
5만원에 4명이 배불리 먹는 이탈리안 음식점 정말 귀합니다 게다가 모든 메뉴가 맛도 있어요,맛,라체나1907
음식들의 맛은 더더욱 마음에 드는 곳으로,맛,라체나1907
덕한 크림알싸한 고추 맛이 물리지 않고 계속 먹게,맛,라체나1907
되는 맛입니다,맛,라체나1907
석계역주변으로 가성비맛집으로 아이와 함께해도 좋고 모임장소으로도 좋습니다,맛,라체나1907
친구 생일 특별한 음식 맛나게 먹고,맛,라체나1907
멋진 맛집이 있었다니,맛,라체나1907
양많고요 맛좋아요,맛,라체나1907
다음엔 저녁 식사를 하러 갈게요,맛,라체나1907
청양크림파스타 매콤하고 부드럽고,맛,라체나1907
레드와인스테이크도 약간 새콤 매콤한,맛,라체나1907
청포도에이드 시켰는데 인위적인 맛이아닌,맛,라체나1907
청포도 그대로의 맛에,맛,라체나1907
음식도 맛나고 조용히 대화하기,맛,라체나1907
파스타가 전체적으로 매콤해서 매운 맛 잘,맛,라체나1907
퇴근 시간이 늦어 급하게 맛집을 찾던,맛,라체나1907
런치셋트로 먹었는데 맛도좋고 매장인테리어도 멋져서,맛,라체나1907
음식 맛나고 깔끔합니다,맛,라체나1907
가성비최고 맛집입니다,맛,라체나1907
맛도 좋고 분위기도 좋았어요,맛,라체나1907
좋은 맛,맛,라체나1907
맛나게 잘,맛,라체나1907
맛집발견 스테이크도 맛있고,맛,라체나1907
가성비 분위기 맛 다 좋아요,맛,라체나1907
언제나 맛집,맛,라체나1907
석계역에 이런 맛집이 있었다니,맛,라체나1907
맛집,맛,라체나1907
청양 크림 파스타 소스가 적당하게 매콤하면서 고소해서,맛,라체나1907
매콤한 맛과 크림맛의 적절한 조화로움으로 주문한 메뉴 모두 맛있게,맛,라체나1907
식사 했습니다,맛,라체나1907
파스타가 너무 맛있었어요 우리동네 맛집이에요,맛,라체나1907
찐 맛집 발견 석계역 근처에 이런 분위기 좋은,분위기,라체나1907
