음식점,사용자명,리뷰,_merge
하이레,Oo마녀oO,광운대 주변 일식 돈까스 맛집 타이틀 달아도 이상하지 않음,both
하이레,난나니뇽86,너무 맛있어요~ 온천계란도 샐러드도 호박무스도 정말 맛있게 먹었어요! 특히 안심 정말 부드럽고 겨자와 와사비도 넉넉하게 주셔서 좋네요! 개인물도 청결하고 믿음직스러워요! 다만 매장이 추운건지 돈까스 자체가 처음부터 너무 차가워요ㅠ 사람붐빌때는 좁아서 먹기 힘들구요ㅠ 친구랑 어깨대고 먹었어요ㅜㅜ 다음엔 한가한 시간에 방문해야겠어요 !,both
하이레,물쨍이,"금요일 오후 2시쯤 방문했습니다.
<장점>
- 돈까스가 부드럽고, 기름지지 않고 진짜 맛있습니다. 온천계란, 카츠산도 등 특별한 메뉴가 많아요.

<단점>
- 자리가 너무 적고 좁습니다. 8자리밖에 없습니다.
- 음식 나오기까지 시간이 10분 정도 걸립니다.
- ❗️자리 배치가 문제였습니다❗️다른 자리는 괜찮은데 가장 구석진 2자리는 ""설거지 싱크대"" 바로 앞 자리였습니다. 누가 설거지통 앞에서 밥을 먹고 싶을까요. 아크릴막을 하던지, 커튼을 달던지 조치가 매우 필요합니다. 음식을 먹고 있는데 눈 앞에는 설거지하는 싱크대가 보이니 비위상했습니다. 설거지를 하진 않았지만 가끔 물을 틀고, 다른 손님 다 먹은 그릇을 바로 앞에서 싱크대에 올려놓고 세척했습니다. 시야를 가리는 분명한 조치가 필요합니다.",both
하이레,Oo마녀oO,"친절하고 맛있어요.
리필 같은 것도 요청 하지 않아도 신경 써주고 먼저 챙겨 주시려고 해서 좋았어요.",both
하이레,지옥의단두대,맛읺ㅇㆍㅣㅇㆍ,both
하이레,반짝이는 보조개,돈까스집.,both
하이레,뮈엥,"남자친구 자취방 바로 앞에 맛집이 생겨서 방문했어용.
소문대로 진짜 맛있었고 사장님도 너무 친절했습니다!

둘 다 먹자마자 한국에서 먹은 돈카츠 중 단연 1위라고 👍👍
특등심카츠(한정판) , 안심카츠 이렇게 시켜서 나눠 먹는거 정말 강추드립니다! ",both
하이레,툴2,"계속 가보고 싶던 가게인데 드디어 처음 방문했어요! 저희가 마감 직전에 갔음에도 불구하고, 너무나도 친절하게 응대해주셨습니다,,👼🫶 반찬 구성이 진짜 알차고 로스카츠도 담백하게 정말 맛있네요ㅎㅎ 다음엔 히레 먹으러 갈게요~~😋",both
하이레,b03****,"광운대에 드디어 맛집이 생겼어요 
분위기도 좋고 음식은 먹은메뉴마다 맛있네요
특히 한정판 특로스카츠 추천합니다 
온천계란에 찍먹하세요!.!.",both
하이레,songje325,"돈카츠집이 새로 오픈해서 먹으러 왔어요!
모듬카츠와 기린맥주를 먹었는데
돈카츠가 겉바속촉이어서 너무 맛있고
다른 반찬들도 다 맛있었어요!
저는 그 중에서 트러플 핫소스에 찍어먹는게 취향저격이더라구요 ㅎㅎ
인테리어도 깔끔하고 로고 캐릭터도 너무 귀여워요 ㅎㅎㅎ 다음에 또 방문할게요!",both
하이레,무나나,"새로 오픈한 곳 같아서 방문했는데요~
메인인 돈카츠는 말할 것도 없고
다른부분들까지 섬세하게 신경쓰신 것 같더라구요!

첫 돈카츠는 사장님 추천대로 
소금+와사비랑 꼭 먹어보시길! 

단호박 샐러드에 트러플 오일 뿌릴 생각은 어떻게 하신건지 완전 맛있어요🫶

신선한 재료, 친절한 사장님들, 깔끔한 인테리어
너무 행복한 점심이었습니다😆😆

다음에 또 오겠습니다!",both
하이레,지옥의단두대,광운대 돈가스 1티어 6시넘어서가면 재료소진 일지도?,both
하이레,이재혁13,맛있네요,both
하이레,yty****,👍,both
하이레,리비도 센,이동네 유일한 돈카츠맛집 맛있어요 잘 먹었습니다,both
하이레,mi****,"사장님 친절하시구 너무맛있어요!
하루 한정된수량만 판매하시니 신선함도 의심할여지없음!",both
하이레,태태87,"항상 갈 때마다 재료 소진으로 실패했었는데
마침내 먹어볼 수 있었는데 정말 맛있었어요!!
광운대 근처 돈가스 집 중에 제일입니다👍
자주 올 것 같아요~~😆😆",both
하이레,리비도 센,"맛있어요. 근처에서 일하는사람인데 맛있는 돈카츠 먹고싶어서 출근이 즐거워졌어요
다음에 가게에 가서 먹고싶네요
",both
하이레,qnddj1,"돈카츠 너무 맛있고 매장도 너무 청결해요!
인테리어도 깔끔하고 사장님도 너무 친철하셔서 기분 좋게 먹었어요~ 다음에 또 먹으러 올께요😄",both
하이레,리비도 센,"카츠산도 두툼하고 맛있네요
다음에 돈까스먹으러갈게요",both
하이레,리비도 센,스트레스잇빠이일때 먹으면 스트레스가 사라지는맛입니다 최고!!,both
하이레,붉은지렁이70,간만에 맛있고 즐거운 점심이였어요!!,both
하이레,joy****,굿굿,both
하이레,jbg1925,합정 신당 유명한 돈까스집 스타일이에요. 가격대비 훌륭하고 한상 구성은 더 훌륭합니다. 유명해질것 같아요.,both
하이레,happyhappy56,맛있어요~ 히레카츠 먹었는데 다음에 다른 메뉴도 먹어보고 싶어요^^,both
하이레,d3****,하이볼 맛집👍,both
하이레,하얀사과78,맛있어요,both
하이레,카푸치노가득,맛있어요,both
윤스쿡,레오788,"마제소바 준비하신다고 테스트로 맛보여주셔서 기대하고 있다가 출시 됐다고해서 바로 방문했어요~
역시 윤스쿡은 메뉴 하나 하나가 다 제대로네요~
개인적으로 마제소바로 유명한 백**보다 맛있습니다..ㅎㅎ
면 먹고 다시마 식초 조금 넣고 밥 비비니 감칠맛 폭팔입니다!!
팁이라면 사장님이 밥 넉넉히 주신다고 밥 많이 넣지 마세요~~ㅎㅎ",both
윤스쿡,지뚜짓뚜,친구들이랑 정말 맛있게 잘 먹고 왔습니다! 새로 나온 마제소바도 맛있어 보이던데 다음에 또 방문해서 꼭 먹어봐야겠어요~🫶🫶,both
윤스쿡,idh****,"혼자 갔더니 2인석인데도 눈치란 눈치는 다 주시더라구요 ㄷㄷ

메뉴판 던지시고 물 안주시고 카드 낚아채가시고..
앞으로는 방문하지 않겠습니다 혼자 방문해서 죄송합니다.. . .",both
윤스쿡,smmine00,"맛있어요.
히레랑 광운대정식 맛있어요",both
윤스쿡,세살더어리게,"윤스쿡은 말해 뭐해요~
역시 명불허전입니다.
한자리에서 오랫동안 사랑받는데는 이유가 있습니다.",both
윤스쿡,케이티6688,양도 많고 맛도 있어요.,both
윤스쿡,힝힝이힝힝,"돈까스 잘 안먹는데, 여긴 진짜 맛있네요 :)",both
윤스쿡,ㅎ니은ㅎ,"튀김옷이 얇고 고기 진짜 두꺼워요!!
",both
윤스쿡,케이티6688,광운대돈까스를 좋아합니다. 치즈와 옛날돈까스의 조화. 양많고 맛나요. 학교앞이라 점심때가면 줄서야합니다.,both
윤스쿡,강정EE,학교앞 돈가스중 제일 맛있움ㅜ,both
윤스쿡,19챌91,너무 맛나네요,both
윤스쿡,fjr****,양이 부족하긴 하지만 맛있어요~~*,both
윤스쿡,omib,"두툼하고 지방하고의 비율도 딱 좋아요ㅎㅎ
정말 맛있고 가격도 나쁘지 않아요",both
윤스쿡,하얀사과78,맛있어요,both
윤스쿡,fyd****,굿,both
윤스쿡,이6754,굿,both
윤스쿡,케이티6688,"광운대학교 앞에서 지금까지는 제일 맛난 돈까스집 .
점심때는 늦게가면? 거의 줄서야합니다.",both
윤스쿡,마음잡기,딱 점심 시간에 가서 자리가 좀 불편한 곳에 앉을 수 밖에 없었음. 대기도 있었고...그 외에도 약간 짜증이 날 상황이었으나 친절하셔서 참게 되었음ㅋㅋ 음식도 미리 주문했지만 오래 기다린편. 음식맛은 히레랑 로츠 먹었는데 그 정도 퀄리티에 가성비 있다고 느꼈음. 다른 분들은 브라운 돈까스도 많이 드시던데..담엔 그거 먹어볼까 싶음. 재방문 의사 있음.,both
윤스쿡,율블리반짝7,너무너무 맛있음,both
윤스쿡,케이티6688,윤스쿡돈까스 맛나요. 소스듬뿍에 돈까스와 치즈돈까스 혼합조화 ,both
윤스쿡,WaterShadow,"1시 반에 갔는데 히레와 새우가 떨어져서 브라운 돈까스를 주문해 보았다.
고기 두께가 히레나 로스보다 얇아 빨리 나왔지만, 다른 돈까스 집에 비하면 두툼하고 고기 맛이 좋다. 
이것도 아주 훌륭한 맛!
",both
윤스쿡,yty****,👍,both
윤스쿡,비쥬9639,"한마디로 너무 맛있어요..^^
고기가 엄청두껍고  입에 넣을때 육줍이
팡 팡 터져서 감동이에요 
다른곳 얄은 돈가스랑은 비교불가네요
자주 오는곳오는곳이 올때마다 매뉴마다
다 제 취향이에요
",both
윤스쿡,중국여행,혼자서 먹기에도 좋아요,both
윤스쿡,RedMoon,"가격이 타가게 비해 비교적 빠르게 꾸준히 우상향으로 오르고 있지만 만족스러운 맛으로 자주가는 윤스쿡🙂🙂
맛있게 잘먹었어요~👍
",both
윤스쿡,희망으로 가득찬,맛있어요.,both
윤스쿡,핼이,광운대 앞에 있는 맛집이라 방문하였는데 소문대로 정말 맛있었습니다 메뉴도 다양하고 돈까스 튀김도 바삭바삭해서 맛있고 안에 들어간 고기가 진짜 부드럽고 맛있었어요 치즈카츠는 치즈가 푸짐하게 들어가있어서 먹고나면 충분히 배부르더라고요 종종 돈까스 생각날때 방문할것 같아요 사장님도 넘 친절하시고 좋았습니다,both
윤스쿡,hss****,맛있어요,both
윤스쿡,gs****,"시원한냉모밀에 히레카츠
맛나게먹었어요",both
윤스쿡,김은주6834,굿,both
윤스쿡,아가릿다이어터,광운대 돈까스 1.1👍,both
윤스쿡,엘사 ㅇ,굿,both
윤스쿡,졸탱,"대학가치고 가격이 조금 있는것같아여ㅠ
그리고 윤스쿡정식 현금은 10500원인데 계좌이체는 안된다네요 무조건 현금만 가능합니다",both
윤스쿡,그림쟁이4,"돈까스가 있네요..! 광운대 앞에 식당있는지 몰랐는데
이층에 있네요 사람들이 많아요 맛은 무난하고 괜찮아요~",both
윤스쿡,WaterShadow,"+ 입 안에서 녹는 히레. 고기 퀄이 장난이 아니다. 매번 놀라울 정도의 높은 퀄리티가 변함 없이 제공된다 (최근 한 달 사이 4번 이상 방문). 여기 방문 이후 내 최애 히레까스 집이 바뀌었다. 여기로. 
+ 스탭들도 친절하시고 일처리가 빠르심
가격대는 음식 대비 저렴하다로 느껴지는데, 학교 주변이라 가능한 것일 듯 싶다.
- 웨이팅이 길다. 바쁜 점심 시간에 안 기다리려고 11:30에 갔는데도 20분 기다림. 다들 나처럼 생각하고 왔나 보다. ㅠㅠ
- 영업 시간이 짧다. 저녁으로 먹기는 어려운 집

팁: 음식 양이 많은 편이라 매번 남기고 나올 때마다 아까움 ㅠㅜ
양이 적은 편이라면 작은 반찬 용기 하나 들고 가자.",both
윤스쿡,shokhyong9,긋,both
윤스쿡,꽃순이6924,돈까스 맛있고 제육도 불맛 나고 맛있어요,both
윤스쿡,최선과긍정,"혼밥하기좋아요
음식이맛있어요",both
윤스쿡,한씽,월계동에서 이가격...? 대기 많은게 신기하긴 해요,both
윤스쿡,하아니이,친절해요  굿~~~,both
윤스쿡,id****,좋아요,both
윤스쿡,식수대2 개80,맛이있음,both
윤스쿡,WaterShadow,"+ 양도 많고 맛도 훌륭하다. 두꺼운 히레지만 입 안에서 살살 녹는다.
- 영업 시간이 짧다.",both
윤스쿡,hjs071850,맛집을 찾았습니다.,both
윤스쿡,WaterShadow,"+ 입 안에서 녹는 히레. 고기 퀄이 장난이 아니다. 매번 놀라울 정도의 높은 퀄리티가 변함 없이 제공된다 (최근 한 달 사이 4번 이상 방문). 여기 방문 이후 내 최애 히레까스 집이 바뀌었다. 여기로.
  + 스탭들도 친절하시고 일처리가 빠르심 
가격대는 음식 대비 저렴하다고 느껴지는데, 학교 주변이라 가능한 것일 듯 싶다. 
- 웨이팅이 길다. 바쁜 점심 시간에 안 기다리려고 1:30에 갔는데도 10분 정도 기다림. 점심 시간은 더 힘들지만, 그래도 앞뒤 시간대로 가면 좀 덜 기다림
- 영업 시간이 짧다. 저녁으로 먹기는 어려운 집  

팁: 음식 양이 많은 편이라 매번 남기고 나올 때마다 아까움 ㅠㅜ 양이 적은 편이라면 작은 반찬 용기 하나 들고 가자.",both
윤스쿡,Kositive,"저희 커플이 돈까스를 좋아해 서울에 맛있다는 돈까스집도 가보고 프렌차이즈 돈까스집도 많이 가봤는데 정착한 집입니다.
다른 특별한건 없고 오히려 소스나 와사비는 평균 이하라는 생각이 들 정도인데 다른 것 없이 고기로 부십니다.
그냥 소금만 딱 찍어먹으면 달달한 맛과 함께 고소한 기름이랑 육향이 팡 터져요!!
가본 곳 중에 육향이 가장 강하고 좋은 집이라 여기 말고 다른곳은 좀 심심하게 느껴질 정도입니다!  개쩌추 우리 1등 맛집",both
윤스쿡,WaterShadow,"+ 입 안에서 녹는 히레. 고기 퀄이 장난이 아니다. 매번 놀라울 정도의 높은 퀄리티가 변함 없이 제공된다 (최근 한 달 사이 4번 이상 방문). 여기 방문 이후 내 최애 히레까스 집이 바뀌었다. 여기로.  

+ 스탭들도 친절하시고 일처리가 빠르심

가격대는 음식 대비 저렴하다고 느껴지는데, 학교 주변이라 가능한 것일 듯 싶다.

- 웨이팅이 길다. 

- 영업 시간이 짧다. 저녁으로 먹기는 어려운 집  

팁: 음식 양이 많은 편이라 매번 남기고 나올 때마다 아까움 ㅠㅜ 양이 적은 편이라면 작은 반찬 용기 하나 들고 가자.",both
윤스쿡,윤스쿡,로스가  쫀득하니 아주  맛나네요,both
윤스쿡,쩡4520,"넘넘 맛있는데 가격이 계속 올라서 슬퍼요 자릿세가 올라서 그런거겠죠.,,? 근ㄷㅔ 언제 먹어도 맛있어요",left_only
윤스쿡,yoo****,음식이 나오는 시간이 좀 오래걸리는게 아쉬워요ㅠ 대신 그만큼 주문하고 나서 시작되는거라서 먹을 때맛있어요!! 양도 많아요,left_only
윤스쿡,이쁜걸로해,히레카츠 부드럽고 담백해서 좋아요,left_only
윤스쿡,morning84,"돈끼스가 밋나요

쭈꾸미제육 맛있었는데 지금은 제육만 햇니 아쉬워요",left_only
윤스쿡,llllllllll1212,굿,left_only
윤스쿡,freshbans12,굳,left_only
윤스쿡,Eun hoon,굿,left_only
윤스쿡,하얀사과78,진짜맛있어요 늘 가고싶은곳,left_only
윤스쿡,아임도치파파,광운대돈가스 맛있어요~~~...,left_only
윤스쿡,하얀사과78,진짜돈가스 맛있어요,left_only
윤스쿡,slrmi,굿,left_only
윤스쿡,복많은걸,맛있어요돈가스,left_only
윤스쿡,kol****,"양이많아 자주이용하는
곳입니다",left_only
윤스쿡,둡76,기대만큼 엄청 맛잇진 않앗엉요,left_only
윤스쿡,hap****,굿,left_only
윤스쿡,소소한행복행,굿,left_only
윤스쿡,sunnysunday,너무맛있어여,left_only
윤스쿡,llIIllIIllII,맛있는데 비싸짐,left_only
윤스쿡,morning84,"광운대 맛집입니다
방학때 조금 한가해서 기다리지 않고 먹었어요",left_only
윤스쿡,sunnysunday,너무 맛있어요!,left_only
윤스쿡,JOYjoy,맛있어요!,left_only
윤스쿡,pink00ss,굿,left_only
윤스쿡,wis****,맛있어요 ,left_only
윤스쿡,감쟈감쟈2,굿,left_only
윤스쿡,orangewilly,좋아요,left_only
윤스쿡,황금별7258,"맛나요
제육양이 좀 적네요",left_only
윤스쿡,돆앵,굿,left_only
윤스쿡,고구마감자365,맛있어요,left_only
윤스쿡,빗소리1677,맛있어요,left_only
윤스쿡,데이브1983,굿,left_only
윤스쿡,느낀대로 리뷰,처음먹을땐 몰랐는데 몇년뒤 종종 생각나는 맛집. 직화제육이 참 맛있다.,left_only
윤스쿡,진주412,굿,left_only
윤스쿡,sunnysunday,"히레까스 체고,,",left_only
윤스쿡,느낀대로 리뷰,비싸지만 맛있는 히레…,left_only
윤스쿡,seo****,제육세트 히레까스 굿 ,left_only
윤스쿡,Sponge25,완전 맛있다 ,left_only
윤스쿡,Iilliliiill7,좋아요,left_only
윤스쿡,부천후후,진짜 나만 알고싶은 가게에요 돈까스 카츠 모두 존맛입니다,left_only
윤스쿡,sunnysunday,돈까스 진짜 너무 맛있어요,left_only
윤스쿡,코코흰둥,굿,left_only
윤스쿡,뿌꾸빠리,맛나요~!,left_only
윤스쿡,ljc****,맛나요,left_only
윤스쿡,빗소리1677,좋아요 ,left_only
윤스쿡,비즈아이콘,"광운대정문앞에 있는 유명한 돈까스 집이라고해서 방문해봤어요 
양도 많고 너무 맛있네요~~^^",left_only
윤스쿡,알라씨61,생각보다 맛있어요 학교앞이라 계속 방문예정입니다,left_only
윤스쿡,구매욕구,굿굿,left_only
윤스쿡,cyboscch,좋와요,left_only
윤스쿡,수동이71,굿,left_only
윤스쿡,럭셔리오서방,광운대학교 앞 맛있는 점심.돈가스 불고기덮밥 맛잇어요,left_only
윤스쿡,빗소리1677,친절해요,left_only
윤스쿡,눈먼기사,광운대 맛집,left_only
윤스쿡,아자아자9327,굿,left_only
윤스쿡,kim****,조아요,left_only
윤스쿡,swj****,맛있어요,left_only
윤스쿡,77레인보우,좋아요,left_only
윤스쿡,kim****,굿,left_only
윤스쿡,jjc****,맛있어요,left_only
윤스쿡,three99,너무맛있어요,left_only
윤스쿡,alice2082,굿,left_only
윤스쿡,hjs****,돈까스가 맛있어 인기가 좋은 음식점이예요,left_only
윤스쿡,hjs****,좋아요,left_only
윤스쿡,hee****,혼자먹기좋아요,left_only
윤스쿡,sun****,음식이 너무 맛있어요,left_only
윤스쿡,alice2082,넘 맛나요 히레가스 최고,left_only
윤스쿡,반짝반짝별별,너무너무 맛있어요♡ 최고!!,left_only
윤스쿡,960****,돈가스고기는 넘 부드럽고 제육도 불맛이나 넘 맛있어요.,left_only
윤스쿡,시인 김윤아,맛있음,left_only
윤스쿡,검은별79,직화제육 맛있어요,left_only
윤스쿡,데이브1983,좋아요,left_only
윤스쿡,hailey74,사람많아요,left_only
윤스쿡,ssh****,맛있게 먹었습니다,left_only
윤스쿡,goldnbs,돈가스 맛있습니다~,left_only
윤스쿡,사자2595,무난해요.,left_only
윤스쿡,서나1242,저렴한 가격에 냄새 안나고 먹을만했어여,left_only
윤스쿡,여민,돈까스 바삭하고 맛있어요,left_only
윤스쿡,여민,"밥이 많아서 쭈꾸미는 약간 모자랐지만, 맛있어요! 저렴하고 배부르게 먹기 좋아요",left_only
윤스쿡,사자2595,평범,left_only
윤스쿡,노드리54,광운대 가성비 갑. 직화제육 추천.,left_only
윤스쿡,방가방가햄토리57,동가스 맛있어요,left_only
윤스쿡,이다미72,너무 맛있어요 맛집 인정~^^!!👍,left_only
윤스쿡,보거스4678,"음식이 너무 맛있어요.
특히 돈가스 맛집입니다",left_only
윤스쿡,아리식,점심때 항상 사람 많고 파불고기랑 쭈꾸미덮밥 왕돈까스 다 맛있어요,left_only
윤스쿡,파이란79,"돈까스 맛있어요
",left_only
윤스쿡,찡39,맛있구 양도 많아요,left_only
윤스쿡,vHMv,맛있어요~!,left_only
윤스쿡,쩌쩌잉,너무 맛있어요~!!!,left_only
윤스쿡,for****,다 맛있습니다.,left_only
윤스쿡,루스4789,팡운머 맛집!!돈까스 다 맛남,left_only
윤스쿡,긍정2528,맛있어요,left_only
윤스쿡,ser****,맛나요,left_only
윤스쿡,you****,왕돈까스 짱! 고기 부드럽고 소스 맛있어요.,left_only
윤스쿡,프라다의 여인,"돈가스와 불맛나는 쭈꾸미를 맛볼 수 있어요.
주인분이 친절하시고 밑반찬은 셀프서비스로 무한리필됩니다.왕돈가스는 크기가 거대하고 소스가 아주 촉촉해서 고기가 부드러워요.안심돈가스도 정말 입안에서 살살 녹을정도로 부드럽습니다.쭈꾸미는 불맛이 나서 자꾸 손이가요.톡 터지는 느낌이 아주 좋아요. 밥 비벼먹어도 좋습니다.",left_only
윤스쿡,vivapass,맛있게 잘먹었어요^^,left_only
윤스쿡,Rosie 13,굿굿,left_only
윤스쿡,cys2753,맛나요,left_only
윤스쿡,손고,초심을 잃으셨네요,left_only
윤스쿡,슈비두비두,맛집맛집,left_only
윤스쿡,h1618,직화파불고기덮밥 진짜진짜진짜맛있어용!!!!!!!!!!!!,left_only
윤스쿡,야코코코,존맛탱구리,left_only
화로상회 광운대본점,don****,"무한리필이라 가는것보다
고기의 질이  무척 좋아요~~
5번째 방문이지만 빠른 피드백으로
직원들이 빠르게 고기도 가져다주시고
만족하고 갑니다",both
화로상회 광운대본점,Ding Dong,"고기많이 먹느라 사진을 많이 못 찍었네여!
광운대 앞에 여기 없으면 진짜 큰일",both
화로상회 광운대본점,집없는 청년,이용하기 편했어요,both
화로상회 광운대본점,소식성호,항상 가는 곳이고 최근에도 몇번 방문했지만 갈수록 실망스러운 서비스랑 사람이 얼마없는데도 리필되지않는 파채랑 밥..ㅋㅋㅋ 한시간정도 리필 없다가 가족들 지인 오니까 바로 귀신같이 리필되는 파채랑 밥을 보고 있는정 없는정 다 떨어지네요.. 맛은 항상 좋지만 이런적이 한 두번이 아니니 계속 아쉬워지는건 어쩔 수 없네요..,both
화로상회 광운대본점,사냥꾼228,"남자 사장님 때문에 가기 싫어지는 곳입니다. 
여사장님은 너무 친절하시고 좋으세요, 하지만 남자사장님 손님앞에서 다른 손님 욕하기(2명이다, 지네는 어쩌고~하면서 나간손님 까내리기 등) 들으면서 너무 불쾌했고, 본인 이익을 위한 잔소리들을 하시더라고요. 비계 잘라낼거면 미리 없는부분으로 달라고 해라, 남길거면 조금만 달라고 해라 등. 비계 좋아하는 사람이 어디있습니까? 반이상이 비계로 되어있고,  남길 생각 없었으나 마지막에 조금 남길수도 있는거 아닌가요? 그저 사장님 편하게, 본인 이익을 위해서만 기분 나쁘게 말씀하셔서 더이상 가고 싶지 않은 곳입니다. 주변에서도 호불호 갈리기는 하더민 저도 이제 불호라 여기는 다신 안갈듯 합니다.

사장님 알바나 쥐잡듯이 잡지마시고 본인부터 개선하십시오.",both
화로상회 광운대본점,박영일74,"친절하지도 않고, 고기도 몇 번 추가하면 이상하게 지방만 많은 고기를 주네요
",both
화로상회 광운대본점,설희5697,"4년전 이사오고 난 후부터 화로상회 고기질과 사장님, 가족분들의 친절함에 자주 갔는데.. 오늘 알바분의 불친절함에 많이 실망하고 기분이 좋지 않았네요. 화로에있는 물을 사람에서 쏟았으면 사과를 해야하는게 정상 아닌가요? 되려 여성직원분이 더 걱정해주시면서 죄송하다고 말하더군요. 결국 계속 쳐다보니 그제서야 머리 살짝 까닥하면서 작게 대충 죄송하다고 하고 가더군요. 열받았지만 참고 기다렸는데.. 마지막까지 제대로 사과한마디 안하더군요. 그리고 사장님 없을때 어린 손님한테 물 직접 가져가라고 손가락으로 시키더라구요.. 성인에겐 주고 어린아이한텐 시키고.. 참나.. 정말 황당하고 어이가 없어서.. 원래 화로상회 이런곳이였나요? 오늘은 알바 한분 때문에 다음에 또 올지 고민 입니다.",both
화로상회 광운대본점,집없는 청년,이용하기 편안해요,both
화로상회 광운대본점,뾰로로로로로로로롱,"화로상회중에 본점이라그런지 여기가 제일 맛있어요!! 고기도 이집이
최고!!",both
화로상회 광운대본점,eeehhh212,가격 좋고 고기도 꽤 괜찮아요,both
화로상회 광운대본점,EOS23,"진짜 맛있음!!!!다른 말이 필요 없음
아들이 살살녹는다고 했는데 뭔말인지 알았음",both
